Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.12
Trial:  15  Best params:  {'K': 25, 'N_bag': 25, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.02228986888297602
Trial:  16  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.020436408202211275
Trial:  17  Best params:  {'K': 15, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.024026242098443278
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.0197918492774241
Trial:  19  Best params:  {'K': 23, 'N_bag': 50, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.024525501604232065
Cross validating alpha under noise level:  0.16
Trial:  0  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 0.8}  Lowest Error:  0.030528504581930647
Trial:  1  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.02577731286609321
Trial:  2  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.029483617179729138
Trial:  3  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.030977809086757607
Trial:  4  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.028799091931107395
Trial:  5  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.026783040078809273
Trial:  6  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.031473045765382526
Trial:  7  Best params:  {'K': 17, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.036262336484485326
Trial:  8  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.02945584205200243
Trial:  9  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.028598748447066523
Trial:  10  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.025906099352510547
Trial:  11  Best params:  {'K': 13, 'N_bag': 50, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.027082749578599158
Trial:  12  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.03019583009419862
Trial:  13  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.028896582195756033
Trial:  14  Best params:  {'K': 33, 'N_bag': 25, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.03197924577424969
Trial:  15  Best params:  {'K': 35, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.2}  Lowest Error:  0.029447513295426542
Trial:  16  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.026963207624684328
Trial:  17  Best params:  {'K': 13, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.031148071522998783
Trial:  18  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.026389792690268643
Trial:  19  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.032204461186211515
Cross validating alpha under noise level:  0.18
Trial:  0  Best params:  {'K': 11, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.037817859361657984
Trial:  1  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 1, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.03292446817664586
Trial:  2  Best params:  {'K': 15, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.03709987197526125
Trial:  3  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.03932720234660568
Trial:  4  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 1, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.03666985479724626
Trial:  5  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.03423922826501522
Trial:  6  Best params:  {'K': 9, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.039772011042904634
Trial:  7  Best params:  {'K': 25, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 0.6}  Lowest Error:  0.04564982683696478
Trial:  8  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.03751325315147166
Trial:  9  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.03640696555623354
Trial:  10  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.0329259383848067
Trial:  11  Best params:  {'K': 13, 'N_bag': 50, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.034341503842399486
Trial:  12  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 1, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.038514098923044145
Trial:  13  Best params:  {'K': 17, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.03667767915278223
Trial:  14  Best params:  {'K': 27, 'N_bag': 50, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 0.6}  Lowest Error:  0.040461633657225465
Trial:  15  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.037236004787562095
Trial:  16  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.03452241186482505
Trial:  17  Best params:  {'K': 9, 'N_bag': 10, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.039595467824779254
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.034050575402860175
Trial:  19  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.04106389756246541
Cross validating alpha under noise level:  0.2
Trial:  0  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.2}  Lowest Error:  0.04681458724836914
Trial:  1  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.04096647205880738
Trial:  2  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.04531398909098025
Trial:  3  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.04832648996736481
Trial:  4  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.04522470220352624
Trial:  5  Best params:  {'K': 9, 'N_bag': 10, 'atom_bag_percent': 0.7, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.04205196917908051
Trial:  6  Best params:  {'K': 9, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.049680084530127434
