Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.02
Trial:  19  Best params:  {'K': 23, 'N_bag': 75, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.7}  Lowest Error:  0.0019314550821183912
Noise level:  0.04  Avg Lowest MSE:  0.0017279610054027651
Cross validating alpha under noise level:  0.06
Trial:  0  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.8}  Lowest Error:  0.004173726871645571
Trial:  1  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1}  Lowest Error:  0.0034585192911325375
Trial:  2  Best params:  {'K': 19, 'N_bag': 100, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.6}  Lowest Error:  0.0037622831130372063
Trial:  3  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.8}  Lowest Error:  0.003876288989469062
Trial:  4  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.7}  Lowest Error:  0.0037610179140932904
Trial:  5  Best params:  {'K': 19, 'N_bag': 1, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.9}  Lowest Error:  0.0037354853504704493
Trial:  6  Best params:  {'K': 19, 'N_bag': 1, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.004067537827645204
Trial:  7  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.004373791618243456
Trial:  8  Best params:  {'K': 15, 'N_bag': 50, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.0038883239369609897
Trial:  9  Best params:  {'K': 17, 'N_bag': 1, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.003767166173970434
Trial:  10  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.6}  Lowest Error:  0.003664295412378474
Trial:  11  Best params:  {'K': 15, 'N_bag': 1, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1}  Lowest Error:  0.003644150285023138
Trial:  12  Best params:  {'K': 17, 'N_bag': 50, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.004063943703780641
Trial:  13  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1}  Lowest Error:  0.003824368812441802
Trial:  14  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.004059014045474519
Trial:  15  Best params:  {'K': 23, 'N_bag': 100, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.6}  Lowest Error:  0.003986399875661717
