Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.12
Trial:  15  Best params:  {'K': 23, 'N_bag': 100, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.022649307823053706
Trial:  16  Best params:  {'K': 13, 'N_bag': 10, 'atom_bag_percent': 0.9, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.02023190829197278
Trial:  17  Best params:  {'K': 13, 'N_bag': 25, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.0237939854819287
Trial:  18  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.01933320126866018
Trial:  19  Best params:  {'K': 25, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.02475147001456664
Noise level:  0.14  Avg Lowest MSE:  0.022149454499791287
Cross validating alpha under noise level:  0.16
Trial:  0  Best params:  {'K': 11, 'N_bag': 10, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.030740441138493085
Trial:  1  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.025609323399164653
Trial:  2  Best params:  {'K': 13, 'N_bag': 10, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.029653052778842687
Trial:  3  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.031018550853775806
Trial:  4  Best params:  {'K': 15, 'N_bag': 50, 'atom_bag_percent': 1, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.028731149769319408
Trial:  5  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.025770075674838782
Trial:  6  Best params:  {'K': 11, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.030368437391256924
Trial:  7  Best params:  {'K': 11, 'N_bag': 50, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.035922507233098665
Trial:  8  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.029099282779875845
Trial:  9  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.02793182544795527
Trial:  10  Best params:  {'K': 9, 'N_bag': 1, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.024939691122064723
Trial:  11  Best params:  {'K': 11, 'N_bag': 1, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.02702602044608767
Trial:  12  Best params:  {'K': 11, 'N_bag': 25, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.030587132472223822
Trial:  13  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 1, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.028654803437622545
Trial:  14  Best params:  {'K': 33, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.03273544039033037
Trial:  15  Best params:  {'K': 19, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.029774011468320337
Trial:  16  Best params:  {'K': 13, 'N_bag': 1, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.026363597528191608
Trial:  17  Best params:  {'K': 13, 'N_bag': 25, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.031042053926198205
Trial:  18  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.025416560475138805
Trial:  19  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.032198872338908946
Noise level:  0.16  Avg Lowest MSE:  0.029179141503585408
Cross validating alpha under noise level:  0.18
Trial:  0  Best params:  {'K': 9, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.038299059988170736
Trial:  1  Best params:  {'K': 11, 'N_bag': 10, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03235714154054804
Trial:  2  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.03719739165544835
Trial:  3  Best params:  {'K': 19, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.039335130910280826
Trial:  4  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.03616111868482629
Trial:  5  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03269072839839907
Trial:  6  Best params:  {'K': 9, 'N_bag': 75, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03924748450152772
Trial:  7  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.044950194958700423
Trial:  8  Best params:  {'K': 11, 'N_bag': 50, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.037235472587171324
Trial:  9  Best params:  {'K': 19, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.036064386426810056
Trial:  10  Best params:  {'K': 9, 'N_bag': 1, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03153692137951174
Trial:  11  Best params:  {'K': 11, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.034588418407755075
Trial:  12  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.038310356362593154
Trial:  13  Best params:  {'K': 11, 'N_bag': 1, 'atom_bag_percent': 0.9, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.035568025444282184
Trial:  14  Best params:  {'K': 35, 'N_bag': 75, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.041138682641079845
Trial:  15  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03725997634612297
Trial:  16  Best params:  {'K': 13, 'N_bag': 10, 'atom_bag_percent': 1, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.033755959026595554
Trial:  17  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03963671863427305
Trial:  18  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03287033060038154
Trial:  19  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.04055585577105971
Noise level:  0.18  Avg Lowest MSE:  0.036937967713276884
Cross validating alpha under noise level:  0.2
Trial:  0  Best params:  {'K': 9, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.0465217093339825
Trial:  1  Best params:  {'K': 11, 'N_bag': 10, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03997465173138126
Trial:  2  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.0456521714606183
Trial:  3  Best params:  {'K': 9, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.04792896976595901
Trial:  4  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.04481108091330825
Trial:  5  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.042063584969406
